Run Script Log: hidden_state = 256, input_state = 256, epoch = 20, data rows = 13679, save path = save/model_256.tch
You should call this after loading model parameters
Start train, epoch = 20
Start epoch0
Inited s-bert model using paraphrase-distilroberta-base-v1
622/13679, now: 2021-01-10 20:35:47
623/13679, now: 2021-01-10 20:35:50
624/13679, now: 2021-01-10 20:35:54
625/13679, now: 2021-01-10 20:35:54
626/13679, now: 2021-01-10 20:35:55
627/13679, now: 2021-01-10 20:35:55
628/13679, now: 2021-01-10 20:35:57
629/13679, now: 2021-01-10 20:36:00
630/13679, now: 2021-01-10 20:36:02
631/13679, now: 2021-01-10 20:36:03
632/13679, now: 2021-01-10 20:36:04
633/13679, now: 2021-01-10 20:36:04
634/13679, now: 2021-01-10 20:36:05
635/13679, now: 2021-01-10 20:36:06
636/13679, now: 2021-01-10 20:36:06
637/13679, now: 2021-01-10 20:36:06
638/13679, now: 2021-01-10 20:36:07
639/13679, now: 2021-01-10 20:36:07
640/13679, now: 2021-01-10 20:36:08
641/13679, now: 2021-01-10 20:36:08
